date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/06/13,182,268.09,3.614,1.48E+03,53.7,-50.8,12.4,74.988
  2023/06/13,231,267.62,3.522,1.43E+03,51.9,-50,13.9,73.836
  2023/06/13,282,267.76,3.485,1.42E+03,53,-50.2,13.9,73.332
  2023/06/13,332,267,3.449,1.40E+03,51,-52.9,13.5,73.584
  2023/06/13,384,268.78,3.473,1.43E+03,52.3,-51.8,15,74.448
  2023/06/13,436,269.48,3.519,1.46E+03,52,-52.8,15,72.792
  2023/06/13,484,268.62,3.456,1.41E+03,52.5,-53.2,16.5,71.712
  2023/06/13,533,268.71,3.393,1.39E+03,50.9,-50.3,17.2,72.288
  2023/06/13,583,268.58,3.402,1.40E+03,53,-51,16.3,73.8
  2023/06/13,635,268.18,3.481,1.43E+03,52.9,-52.1,16.7,72.864
  2023/06/13,679,267.97,3.426,1.40E+03,54.5,-52,17.5,73.224
  2023/06/13,733,267.62,3.461,1.41E+03,58.2,-50.2,19.5,72.36
  2023/06/13,781,267.54,3.41,1.39E+03,60.4,-48.7,22.1,72.504
  2023/06/13,829,267.02,3.427,1.38E+03,63.1,-47.4,23.2,72.756
  2023/06/13,879,267.67,3.423,1.40E+03,65.4,-45.7,25.5,72.72
  2023/06/13,929,267.56,3.436,1.40E+03,71.2,-44.8,28.9,73.404
  2023/06/13,980,267.54,3.453,1.41E+03,77.1,-41.8,34.7,73.404
  2023/06/13,31,267.56,3.479,1.41E+03,79.8,-37.5,36,72.432
  2023/06/13,83,268.09,3.412,1.39E+03,82.2,-33.7,38.7,73.404
  2023/06/13,133,267.08,3.463,1.41E+03,85.7,-32.7,41.8,74.556
  2023/06/13,181,267.46,3.515,1.43E+03,85.9,-31.5,42.9,72.72
  2023/06/13,230,268.79,3.43,1.41E+03,85.4,-29.8,44.4,78.336
  2023/06/13,281,269.29,3.784,1.52E+03,85.2,-28.5,44,86.004
  2023/06/13,335,269.56,4.177,1.65E+03,64.4,-24,35.8,80.172
  2023/06/13,385,267.9,3.809,1.51E+03,58.3,-4.5,35,76.68
  2023/06/13,433,267.74,3.639,1.47E+03,50.3,38.5,50.5,77.256
  2023/06/13,485,268.15,3.665,1.49E+03,54.8,65,67.1,77.976
  2023/06/13,535,268.66,3.702,1.51E+03,57.2,64.9,64,74.7
  2023/06/13,584,267.81,3.535,1.43E+03,57.9,63.2,63,72
  2023/06/13,636,267.83,3.393,1.38E+03,59.8,65.9,62.8,71.928
  2023/06/13,681,267.55,3.394,1.38E+03,60.3,66,63.7,71.604
  2023/06/13,731,267.89,3.381,1.38E+03,62.5,66.4,64.6,143.748
  2023/06/13,842,267.66,3.395,1.38E+03,62.5,67.8,65.6,0
  2023/06/13,850,267.66,3.395,1.38E+03,63.2,69.4,66.2,71.784
  2023/06/13,879,267.86,3.382,1.38E+03,66.4,70.7,67.6,72.72
  2023/06/13,932,267.36,3.434,1.40E+03,67.5,71.9,67.8,71.784
  2023/06/13,983,267.77,3.386,1.38E+03,70.8,71.8,69.6,71.856
  2023/06/13,30,267.71,3.382,1.38E+03,71.6,75.1,70.9,71.892
  2023/06/13,80,270.06,3.399,1.41E+03,68.8,54,59.7,74.052
  2023/06/13,131,269.56,3.51,1.45E+03,45.5,8.6,25.9,73.476
  2023/06/13,179,267.33,3.464,1.41E+03,28,2,14.9,73.188
  2023/06/13,233,267.64,3.451,1.41E+03,23.2,0.4,12.2,74.556
  2023/06/13,282,267.37,3.514,1.43E+03,14.4,-1,7.8,75.384
  2023/06/13,330,268.51,3.566,1.46E+03,8,-0.9,4.7,73.188
  2023/06/13,385,268.25,3.458,1.41E+03,3,-1.2,2.7,74.052
  2023/06/13,433,268.31,3.495,1.43E+03,0.9,-1.8,1.6,74.484
  2023/06/13,484,267.42,3.529,1.43E+03,2.2,-3.7,2.2,75.096
  2023/06/13,536,267.21,3.532,1.44E+03,-0.7,-2.4,3.4,74.7
  2023/06/13,585,267.79,3.518,1.43E+03,0.2,-1.8,2.6,74.124
  2023/06/13,634,267.61,3.497,1.42E+03,0.1,-1.1,1.8,74.376
  2023/06/13,681,267.22,3.505,1.42E+03,0.2,-1.1,1.5,75.132
  2023/06/13,729,267.34,3.54,1.44E+03,0.1,-1.1,1.6,73.728
  2023/06/13,779,267.37,3.477,1.41E+03,0.1,-1.1,1.4,74.304
  2023/06/13,830,267.18,3.503,1.42E+03,0.1,-1.1,1.4,75.096
  2023/06/13,881,267.69,3.541,1.45E+03,2.5,-3.6,1.2,73.764
  2023/06/13,930,267.24,3.484,1.41E+03,-0.1,-0.8,1.6,75.348
  2023/06/13,982,267.8,3.552,1.45E+03,0.1,-1.1,1.4,74.088
  2023/06/13,31,267.35,3.492,1.42E+03,0,-1,1.5,74.088
  2023/06/13,80,267.77,3.477,1.42E+03,0.2,-1.1,1.4,75.384
  2023/06/13,130,267.26,3.556,1.45E+03,-0.2,-7.1,0.7,74.016
  2023/06/13,180,267.54,3.492,1.41E+03,-5.2,-24.5,-1.6,74.304
  2023/06/13,229,268.69,3.519,1.44E+03,-14.7,0.2,0.6,74.052
  2023/06/13,282,267.52,3.491,1.42E+03,-13.1,12.1,1.4,75.42
  2023/06/13,332,268.73,3.565,1.46E+03,0.8,-1.2,-0.1,73.872
  2023/06/13,384,268.85,3.494,1.43E+03,0.5,-0.9,0.1,73.692
  2023/06/13,435,269.48,3.481,1.43E+03,1.4,0,-0.3,73.98
  2023/06/13,484,268.16,3.51,1.43E+03,14.6,13,1.2,75.6
  2023/06/13,536,269.24,3.58,1.47E+03,9.8,8,0.8,74.124
  2023/06/13,583,267.64,3.487,1.42E+03,1.8,0.2,-0.4,74.016
  2023/06/13,635,267.71,3.499,1.42E+03,-0.2,-1.4,-0.6,74.088
  2023/06/13,679,267.3,3.488,1.41E+03,-0.2,-1.4,-0.8,74.376
  2023/06/13,731,267.8,3.526,1.44E+03,-0.1,-1.5,-0.6,73.476
  2023/06/13,782,267.52,3.469,1.40E+03,2.3,1.1,-0.4,74.304
  2023/06/13,833,267.6,3.515,1.42E+03,1.6,0.2,-0.5,74.16
  2023/06/13,881,267.83,3.495,1.42E+03,1,-1.5,-0.3,74.16
  2023/06/13,930,267.47,3.507,1.42E+03,31.5,-14.4,0.1,73.656
  2023/06/13,979,267.73,3.486,1.42E+03,45.6,-33,-1.6,74.376
  2023/06/13,31,267.47,3.517,1.43E+03,49.6,-42.5,-5.1,73.692
  2023/06/13,81,268.02,3.483,1.42E+03,52.2,-53.2,-6.3,73.764
  2023/06/13,132,267.38,3.491,1.41E+03,54.8,-59.1,-7.8,74.376
  2023/06/13,181,267.37,3.515,1.42E+03,53.5,-65.2,-9.8,73.656
  2023/06/13,229,267.47,3.484,1.42E+03,56.2,-57.5,-8.6,73.944
  2023/06/13,279,267.19,3.509,1.41E+03,60.3,-69.5,-11.4,73.764
  2023/06/13,331,268.59,3.511,1.43E+03,56,-62.7,-8.6,72.9
  2023/06/13,385,269.49,3.46,1.42E+03,57.2,-67.1,-8.9,74.088
  2023/06/13,433,268.69,3.51,1.44E+03,55.5,-68.4,-8.8,73.008
  2023/06/13,485,268.12,3.47,1.41E+03,54.5,-66.2,-9.1,72.828
  2023/06/13,535,268.33,3.462,1.41E+03,52.4,-64.8,-4.3,71.316
  2023/06/13,583,268.01,3.383,1.37E+03,46,-65.3,1.7,72.288
  2023/06/13,636,268.7,3.417,1.41E+03,49.7,-68.1,0.2,71.82
  2023/06/13,682,267.91,3.397,1.38E+03,49.1,-68.8,-2.1,72.54
  2023/06/13,730,267.44,3.441,1.40E+03,51.4,-64.7,-3.5,73.98
  2023/06/13,781,267.18,3.502,1.41E+03,55.7,-67.4,-5.9,72.864
  2023/06/13,831,267.59,3.467,1.40E+03,52.5,-65.3,-5.7,72.324
  2023/06/13,879,267.94,3.431,1.39E+03,55.7,-64.2,-5,72.756
  2023/06/13,931,267.56,3.45,1.39E+03,53.5,-65.7,-4.1,73.26
  2023/06/13,983,267.78,3.465,1.41E+03,51,-66.9,-0.3,72.792
  2023/06/13,31,267.68,3.45,1.40E+03,48.8,-64.9,3.5,73.404
  2023/06/13,79,267.6,3.477,1.41E+03,49.8,-65.1,3.3,73.764
  2023/06/13,131,267.51,3.491,1.41E+03,50,-65.1,1.7,74.772
  2023/06/13,200,267.38,3.554,1.43E+03,52.8,-66.2,-0.5,72.972
  2023/06/13,238,266.91,3.464,1.40E+03,55.2,-64.3,-1.4,74.448
  2023/06/13,281,267.29,3.518,1.42E+03,54.8,-66.8,-0.4,75.096
  2023/06/13,331,268.59,3.554,1.45E+03,52,-65.1,0.9,74.484
  2023/06/13,401,267.13,3.532,1.42E+03,53.7,-64.8,-1.5,75.852
  2023/06/13,433,268.11,3.603,1.46E+03,52.6,-64.3,-0.9,74.34
  2023/06/13,484,267.21,3.529,1.43E+03,55.5,-66.3,-0.4,75.204
  2023/06/13,536,266.98,3.553,1.43E+03,53.3,-66.1,1.5,76.176
  2023/06/13,584,267.88,3.607,1.47E+03,54.5,-65.6,-0.9,74.916
  2023/06/13,633,269.25,3.542,1.45E+03,53.6,-63.6,0.8,74.664
  2023/06/13,686,267.38,3.537,1.43E+03,56.8,-65.9,-0.6,74.304
  2023/06/13,729,267.67,3.525,1.43E+03,57,-67.5,-1.1,75.132
  2023/06/13,780,267.59,3.547,1.44E+03,53.9,-64.7,-0.1,73.764
  2023/06/13,830,267.42,3.484,1.41E+03,54.5,-66.4,2.7,73.692
  2023/06/13,881,267.23,3.494,1.41E+03,55.3,-65.2,1.4,74.7
  2023/06/13,932,267.35,3.539,1.43E+03,55.3,-65.3,2.8,73.8
  2023/06/13,981,267.65,3.496,1.42E+03,55.5,-65.1,5.9,74.34
  2023/06/13,31,266.92,3.514,1.41E+03,52.6,-64.8,5.2,74.628
  2023/06/13,79,267.57,3.528,1.43E+03,55.9,-63.7,3.2,74.556
  2023/06/13,130,266.92,3.517,1.42E+03,52.8,-64.5,5.8,73.512
  2023/06/13,179,267.84,3.483,1.41E+03,52.5,-63.1,4,73.152
  2023/06/13,231,267.37,3.466,1.40E+03,53.8,-64.1,6.3,74.232
  2023/06/13,281,267.63,3.51,1.42E+03,50.2,-62.9,7.3,74.592
  2023/06/13,332,267.16,3.526,1.43E+03,37.8,-41.8,6,74.016
  2023/06/13,383,267.45,3.505,1.42E+03,18.6,-10.7,6.9,73.836
  2023/06/13,436,269.02,3.5,1.44E+03,3.6,-1,2.2,74.7
  2023/06/13,484,269.23,3.556,1.46E+03,5.3,-0.3,4.8,73.872
  2023/06/13,534,268.4,3.498,1.43E+03,19.2,-17.4,5.2,74.7
  2023/06/13,584,268.41,3.547,1.45E+03,24.2,-25.8,4.8,73.8
  2023/06/13,634,276.24,3.436,1.49E+03,28.1,-39,3.5,73.764
  2023/06/13,680,267.38,3.483,1.41E+03,29.6,-48.5,2.3,73.944
  2023/06/13,731,267.96,3.516,1.43E+03,29.6,-55.8,1.4,74.232
  2023/06/13,783,267.81,3.514,1.42E+03,30.1,-56.3,0.2,75.06
  2023/06/13,830,267.43,3.565,1.44E+03,32,-56.8,0.7,74.52
  2023/06/13,879,267.89,3.525,1.43E+03,28.5,-56,2.5,74.268
  2023/06/13,930,267.5,3.516,1.43E+03,28.9,-67.7,0.2,74.34
  2023/06/13,980,267.55,3.526,1.43E+03,10.6,-90.7,-4.7,73.656
  2023/06/13,50,267.27,3.481,1.41E+03,-2.2,-77,2,73.512
  2023/06/13,81,267.69,3.482,1.41E+03,-0.2,-77,6.4,75.06
  2023/06/13,130,266.82,3.549,1.43E+03,-9.9,-101.4,2.2,73.548
  2023/06/13,182,267.75,3.485,1.41E+03,-18.7,-101.4,4.6,73.692
  2023/06/13,229,267.36,3.486,1.42E+03,-22.4,-105.7,6.2,73.98
  2023/06/13,279,267.75,3.509,1.42E+03,-25.9,-105.8,10.6,74.7
  2023/06/13,330,267.37,3.549,1.43E+03,-28.8,-104.5,18.9,73.656
